taxa_name,count,mean,std,max,min,total,zero_days
A_lutescens,775,8.333889032258064,14.45316478001316,76.30799999999999,0.0,6458.764,205
A_macrocarpa,775,8.994637419354838,12.323334806616364,55.667999999999985,0.0,6970.844,142
A_madagascariensis,775,12.460381935483872,18.91469010330505,103.31199999999998,0.0,9656.796,42
A_malayensis,775,7.327101935483871,8.073754870199242,40.88799999999996,0.0,5678.504,55
A_marmorata,775,9.288645161290322,7.461515394765996,32.6,0.0,7198.7,18
A_masasiensis,775,5.056490322580645,6.655609595479483,28.05999999999999,0.0,3918.7799999999997,149
A_microlepis,775,3.2827354838709675,5.583406548261626,27.989999999999988,0.0,2544.12,254
A_millsii,775,2.014709677419355,4.356181907764723,23.3,0.0,1561.4,353
A_mutabilis,775,3.8048567741935484,5.602316730903536,29.70799999999999,0.0,2948.764,174
A_nana,775,0.09897806451612903,0.4252845203987827,3.025999999999999,0.0,76.708,691
A_nauseosa,775,1.5069780645161288,3.3519251421284637,19.875999999999976,0.0,1167.908,397
A_nitida,775,3.1224567741935485,6.564573734299251,37.83799999999999,0.0,2419.904,350
A_novinupta,775,4.5734606451612905,6.047985534585045,28.003999999999994,0.0,3544.432,236
A_ochrophylla,757,4.113363276089826,10.494223836348237,69.3519999999998,0.0,3113.8159999999984,215
A_ochroterrea,775,2.8131767741935483,6.044810639521882,30.663999999999987,0.0,2180.212,449
A_odorata,775,0.8816103225806451,1.9507221873167095,10.355999999999995,0.0,683.2479999999999,410
A_onusta,775,3.069847741935484,7.358945998885551,40.403999999999996,0.0,2379.132,444
A_parva,775,3.751834838709677,6.322210074893467,38.083999999999975,0.0,2907.6719999999996,205
A_parvipantherina,775,6.782394838709677,8.865674449581832,42.581999999999994,0.0,5256.356,116
A_pelioma,775,2.8796851612903223,5.735244628596421,31.481999999999996,0.0,2231.756,306
A_perpasta,775,6.755545806451613,5.997755949013981,27.455999999999996,0.0,5235.548,14
A_polypyramis,775,2.472567741935484,6.2518013931318075,34.92999999999999,0.0,1916.24,477
A_populiphila,775,3.6188593548387096,7.337695353823054,38.852,0.0,2804.616,367
A_praeclara,775,1.3478141935483872,4.242044688420663,28.381999999999994,0.0,1044.556,550
A_praegraveolens,775,4.67890064516129,5.415151591493049,26.555999999999994,0.0,3626.148,125
A_praelongispora,775,0.6558812903225807,1.4338304983625185,8.626,0.0,508.308,436
A_prairiicola,775,3.3341058064516127,7.19029530461732,35.95399999999998,0.0,2583.932,373
A_preissii,775,3.0080309677419357,5.578299719566323,25.377999999999997,0.0,2331.224,378
A_princeps,775,7.353027096774193,5.713028171821813,26.71199999999999,0.0,5698.596,11
A_pudica,782,12.603872122762148,10.661120547247133,46.76599999999992,0.0,9856.228,19
A_quenda,775,3.285429677419355,5.613948998616436,24.626,0.0,2546.208,344
A_ravenelii,775,3.9724232258064514,7.66801614995337,43.91599999999998,0.0,3078.6279999999997,289
A_rhoadsii,775,5.333935483870968,7.2493853875431595,32.4,0.0,4133.8,147
A_rhopalopus,775,2.945997419354839,7.537632628920845,44.05599999999999,0.0,2283.148,427
A_roanokensis,775,3.5705445161290323,6.60977254318393,35.934,0.0,2767.172,261
A_roseolescens,775,1.054869677419355,3.704606078058555,24.677999999999997,0.0,817.524,576
A_rubromarginata,775,7.898152258064516,16.462510157155922,95.94599999999998,0.0,6121.068,138
A_salmonea,775,2.1427870967741933,6.03570431590055,36.31999999999998,0.0,1660.6599999999999,485
A_shorea,775,3.3900490322580645,4.443236945711115,23.48599999999999,0.0,2627.288,104
A_silvicola,775,7.293445161290323,12.213625185943458,60.18999999999998,0.0,5652.42,330
A_silvifuga,775,2.3484438709677415,5.601945561733515,34.41799999999996,0.0,1820.0439999999996,366
A_similis,775,7.04274064516129,5.64084803707306,26.077999999999996,0.0,5458.124,14
A_singeri,775,2.569512258064516,5.487023225817761,28.93399999999999,0.0,1991.3719999999998,414
A_sinicoflava,775,3.0591277419354834,7.365397484616828,42.427999999999976,0.0,2370.8239999999996,435
A_smithiana,775,2.369981935483871,5.325202689515937,27.841999999999985,0.0,1836.7359999999999,480
A_solitaria,775,2.3111690322580642,3.8980883661953687,17.781999999999996,0.0,1791.156,327
A_straminea,775,0.9809445161290322,2.320822583336741,13.403999999999996,0.0,760.232,451
A_strobilacea,782,0.8952838874680303,2.7204677271123603,17.313999999999965,0.0,700.1119999999997,537
A_strobilaceovolvata,775,8.013718709677418,7.154101321926538,32.504,0.0,6210.632,33
A_strobiliformis,775,1.8042787096774193,3.7497814309772366,20.252,0.0,1398.316,362
A_subpallidorosea,775,4.7042270967741935,8.048536614386178,43.87199999999998,0.0,3645.776,170
A_subsolitaria,775,2.2139767741935485,5.697569082657644,37.304,0.0,1715.832,396
A_tephrea,775,3.678766451612903,5.255375735850977,25.567999999999984,0.0,2851.044,189
A_thiersii,775,2.5109780645161286,6.221219710439799,40.32599999999995,0.0,1946.0079999999996,357
A_timida,775,7.340402580645161,7.284033766401062,37.56399999999999,0.0,5688.812,27
A_vernicoccora,775,2.7270296774193548,6.484042673608411,32.60599999999997,0.0,2113.448,465
A_vestita,782,5.742015345268541,7.22763291200153,35.05699999999998,0.0,4490.255999999999,99
A_virginioides,775,4.503943225806451,11.046580593942993,70.58199999999994,0.0,3490.5559999999996,237
A_viridissima,775,3.674141935483871,8.627451305358955,47.31999999999998,0.0,2847.46,322
A_vittadinii,775,2.588665806451613,4.27215001219195,21.951999999999998,0.0,2006.216,257
A_wadjukiorum,775,2.8514374193548386,5.956037868746875,30.507999999999992,0.0,2209.864,436
A_wadulawitu,775,1.2541058064516128,3.4400843845420246,20.803999999999995,0.0,971.9319999999999,537
A_walpolei,775,2.400030967741935,4.498388093628676,22.577999999999996,0.0,1860.024,350
A_westii,775,4.584072258064516,5.8102018871061825,27.181999999999995,0.0,3552.656,129
A_xanthogala,775,8.691003870967743,10.350672007980005,57.515999999999984,0.0,6735.528,48
A_zambiana,775,8.504526451612904,6.9897423855638205,32.925999999999995,0.0,6591.008,26
